Equity Risk,Region,Equity Allocation
475,Eq. UK ,0
475, Eq. Europe ex. UK ,0.6918
475,Eq. North America,0
475, Eq.China ,0
475, Eq. India ,0
475, Eq. Asia ex. Japan,0
475, Eq. Global Emerging ,0.3082
475, Eq. Japan ,0
475, Eq. Middle East & Africa,0
480,Eq. UK ,0
480, Eq. Europe ex. UK ,0.4602
480,Eq. North America,0
480, Eq.China ,0
480, Eq. India ,0
480, Eq. Asia ex. Japan,0
480, Eq. Global Emerging ,0.5398
480, Eq. Japan ,0
485, Eq. Middle East & Africa,0
485,Eq. UK ,0
485, Eq. Europe ex. UK ,0.2677
485,Eq. North America,0
485, Eq.China ,0
485, Eq. India ,0
485, Eq. Asia ex. Japan,0
485, Eq. Global Emerging ,0.7323
490, Eq. Japan ,0
490, Eq. Middle East & Africa,0
490,Eq. UK ,0.0874
490, Eq. Europe ex. UK ,0.0993
490,Eq. North America,0
490, Eq.China ,0
490, Eq. India ,0
490, Eq. Asia ex. Japan,0
490, Eq. Global Emerging ,0.8133
490, Eq. Japan ,0
495, Eq. Middle East & Africa,0
495,Eq. UK ,0.5253
495, Eq. Europe ex. UK ,0
495,Eq. North America,0
495, Eq.China ,0
495, Eq. India ,0
495, Eq. Asia ex. Japan,0
495, Eq. Global Emerging ,0.4747
495, Eq. Japan ,0
500, Eq. Middle East & Africa,0
500,Eq. UK ,0.8807
500, Eq. Europe ex. UK ,0
500,Eq. North America,0
500, Eq.China ,0
500, Eq. India ,0
500, Eq. Asia ex. Japan,0
500, Eq. Global Emerging ,0.1193
500, Eq. Japan ,0
505, Eq. Middle East & Africa,0
505,Eq. UK ,1
505, Eq. Europe ex. UK ,0
505,Eq. North America,0
505, Eq.China ,0
505, Eq. India ,0
505, Eq. Asia ex. Japan,0
505, Eq. Global Emerging ,0
505, Eq. Japan ,0
505, Eq. Middle East & Africa,0
